title,link,price
"삼성전자 블루투스5.0 미니키보드, SPA-KKA2GBB, 블랙 + 실버",https://www.coupang.com/vp/products/258869345?itemId=811371926&vendorItemId=5063632276,46920
"아이리버 유선 키보드 EQWEAR-K30, 화이트",https://www.coupang.com/vp/products/158814720?itemId=456398235&vendorItemId=4131988038,14500
"커세어 K100 RGB PBT 기계식 키보드 광적축, CH-912A01A-KR2 RGP0094, 일반형",https://www.coupang.com/vp/products/5063482763?itemId=6840500530&vendorItemId=74133121364,311250
"CHERRY MX BOARD 3.0S 기계식 유선키보드 + 높이조절 고무패드, 일반형, G80-3870LUAKR-2(적축), WHITE",https://www.coupang.com/vp/products/1573626005?itemId=2689936454&vendorItemId=70680400728,91250
"앱코 HACKER K611 V1 리니어 텐키리스 카일광축 축교환 게이밍 기계식키보드, 핑크",https://www.coupang.com/vp/products/340130569?itemId=1083099360&vendorItemId=5586897884,42150
"마이크로소프트 Surface 키보드, WS2-00016",https://www.coupang.com/vp/products/77372205?itemId=250127695&vendorItemId=3609878465,121250
"엑토 레트로 무선 키보드 KBD-48, Mint",https://www.coupang.com/vp/products/52654277?itemId=185661198&vendorItemId=3442067483,21830
"커세어 무소음 적축 기계식 유선키보드, STRAFE RGB MK.2 MX SILENT, 혼합 색상",https://www.coupang.com/vp/products/145203386?itemId=421026852&vendorItemId=4035712291,201250
"아이리버 유선 키보드 EQWEAR-K30, 베이비핑크",https://www.coupang.com/vp/products/158814720?itemId=456398239&vendorItemId=4131988051,14500
"필립스 G614 게이밍 기계식 키보드 갈축, 혼합 색상, SPK8614",https://www.coupang.com/vp/products/1159036824?itemId=2135433358&vendorItemId=70008275948,31150
"앱코 HACKER 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 키보드 청축, 화이트, K515",https://www.coupang.com/vp/products/286652843?itemId=908774505&vendorItemId=5353106124,31150
"커세어 적축 기계식 유선키보드, K70 RGB MK.2 RED, 혼합 색상",https://www.coupang.com/vp/products/145206070?itemId=421034274&vendorItemId=4035731036,195740
"앱코 LED 기계식 게이밍 콤보 키보드 마우스 세트, GKM570, 화이트",https://www.coupang.com/vp/products/1477726678?itemId=2530152090&vendorItemId=70522941879,45650
"앱코 HACKER RGB LED 멤브레인 키보드 + 마우스, KM110, 블랙",https://www.coupang.com/vp/products/312947716?itemId=988858408&vendorItemId=5413255762,17650
"CHERRY MX BOARD 3.0S RGB 게이밍 기계식 키보드적축, G80-3874H, 화이트",https://www.coupang.com/vp/products/1731671285?itemId=2947711929&vendorItemId=70936238214,131250
"앱코 HACKER K660 ARC 프리미엄 카일 광축 방수 유선키보드 클릭 레인보우 LED, 블랙",https://www.coupang.com/vp/products/185796286?itemId=532461981&vendorItemId=4387763474,69550
"애니젠 유선 키보드 마우스 세트, MK200, 핑크",https://www.coupang.com/vp/products/1349742706?itemId=2377828236&vendorItemId=70373379369,15490
